Contry,Homosexuality,Abortion,Divorce,Sex before marriage,Suicide,Wifebeating,Childbeating,Violence
Algeria,1.7,2.2,3.8,0,2.2,3.0,3.6,2.5
Argentina,5.1,3.3,6.3,6.6,2.1,1.4,1.8,1.6
Australia,6.6,5.7,7.0,7.3,3.4,1.2,1.6,1.7
Azerbaijan,1.2,2.9,3.2,1.8,1.4,1.9,2.2,1.4
Brazil,4.3,2.3,6.1,5.9,1.6,1.4,3.7,1.5
Colombia,3.3,1.9,4.2,4.9,1.6,1.4,3.5,1.6
Cyprus,3.5,3.8,6.3,5.8,2.2,1.5,1.5,1.5
Ecuador,2.9,2.1,3.7,4.0,1.9,1.7,1.8,1.8
Egypt,0,0,5.1,0,2.4,3.5,4.5,2.5
Estonia,2.7,4.5,5.8,6.2,1.9,1.4,2.0,1.5
Germany,5.8,4.6,6.3,7.6,3.1,1.5,1.7,1.5
India,1.2,1.4,1.8,1.7,1.5,1.7,2.9,1.6
Iraq,1.6,2.4,3.9,0,1.7,2.8,3.4,2.1
Japan,4.0,3.9,5.2,5.3,2.0,1.3,1.3,1.4
Netherlands,7.3,6.0,6.8,7.9,3.9,1.2,1.9,1.5
Philippines,4.4,3.1,4.1,4.1,3.0,3.5,3.7,3.5
Poland,3.1,3.0,4.7,6.0,2.2,1.3,2.8,1.4
Qatar,1.3,1.8,3.3,1.3,1.3,1.8,3.3,1.7
Russia,2.1,3.8,5.5,5.6,1.8,1.9,2.0,1.6
South Korea,3.5,3.5,4.7,4.4,2.5,1.6,1.5,1.7
South Africa,4.1,4.1,4.7,4.7,4.0,3.9,4.5,4.1
Spain,6.7,5.2,7.3,7.2,2.6,1.3,1.6,1.4
Sweden,8.0,7.6,8.1,8.7,4.2,1.3,1.5,2.1
Trinidad & Tobago,1.6,2.1,3.9,3.6,1.4,1.3,4.3,1.6
Tunisia,0.9,1.9,3.5,0,1.1,2.0,3.1,1.5
Ukraine,2.5,3.6,5.4,5.5,1.9,1.7,2.3,1.7
United States,
United Kingdom,
Uruguay,5.6,3.5,7.1,7.3,2.0,1.4,1.9,1.4
Zimbabwe,1.8,2.1,3.2,2.8,2.1,2.8,4.7,2.4
