Country,Tax Fraud, Accepting bribes,Homosexuality,Prostitution,Abortion,Divorce,Euthanasia,Suicide
Algeria,0,0,0,0,0,0,0,0
Argentina,2.0,	1.3,	3.7,	3.3,	3.2,	5.6,	3.5,	2.0
Australia, 2.1,	1.3,	4.4,	4.0,	4.7,	5.8,	6.0,	2.9
Azerbaijan,3.3,	2.6,	1.3,	1.5,	4.1,	4.0,	2.7,	1.7
Brazil,3.6,	4.0,	3.1,	2.3,	2.0,	4.9,	3.0,	1.5
Colombia,1.5,	1.4,	2.7,	0,	1.8,	0,	0,	0
Cyprus,0,0,0,0,0,0,0,0
Eucador,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0
Estonia,3.2,	1.5,	2.1,	2.4,	4.9,	5.8,	5.8,	2.1
Germany,2.7,	1.9,	2.0,	5.8,	4.6,	5.6,	6.6,	0,	4.2
India,1.5,	1.5,	1.5,	1.7,	2.4,	2.9,	2.4,	1.7
Iraq,0,0,0,0,0,0,0,0
Japan,1.5,	1.5,	3.1,	2.1,	4.0,	5.3,	5.4,	2.3
Netherlands,0,0,0,0,0,0,0,0
Philippines,3,	3.5,	3.8,	3,	2.3,	3.3,	2.7,	2.3
Poland,2.4,	1.3,	2.7,	2.2,	3.4,	4.4,	2.3,	2.2
Qatar,0,0,0,0,0,0,0,0
Russia,2,9,	1.4,	1.4,	1.9,	4.5,	4.9,	4.4,	1.9
South Africa,2.0,	1.7,	2.4,	2.0,	2.4,	3.5,	3.0,	2.0
South Korea,1.8,	1.5,	2.1,	2.3,	3.3,	4.1,	4.2,	2.8
Spain,1.8,	1.4,	5.0,	4.1,	4.1,	5.8,	4.5,	2.5
Sweden,2.6,	1.8,	6.5,	3.7,	6.9,	7.4,	6.4,	4.1
Trinidad & Tobago,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0
Ukraine,3.0,	1.8,	1.6,	1.9,	3.4,	4.1,	3.3,	1.7
United Kingdom,0,0,0,0,0,0,0,0
United States,1.7,	1.2,	3.3,	2.3,	3.7,	5.1,	4.3,	2.2
Uruguay,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0
