Country,Tax Fraud, Accepting bribes,Homosexuality,Prostitution,Abortion,Divorce,Euthanasia,Suicide
Algeria,1.9,	1.4,	1.2,	1.2,	1.7,	4.9,	1.6,	1.2
Argentina,1.9,	1.2,	3.8,	3.2,	2.5,	5.2,	3.6,	1.8
Australia, 0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0
Eucador,0,0,0,0,0,0,0,0
Egypt,1,6,	1.1,	1.0,	1.1,	2.1,	4.6,	1.4,	1.2	
Estonia,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0
India,2,0	1,8	1,8	2,1	2,8	3,4	2,9	2,4
Iraq,0,	1.3,	0,	0,	1.6,	2.0,	0,	0
Japan,1.4,	1.4,	3.7,	2.0,	4.2,	5.7,	5.7,	2.7
Netherlands,0,0,0,0,0,0,0,0
Philippines,
Poland,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0
South Africa,2.2,	1.9,	2.8,	2.2,	2.5,	3.9,	3.4,	2.0
South Korea,1.6,	1.4,	2.8,	2.2,	3.4,	4.6,	4.6,	2.8
Spain,2.1,	1.6,	5.8,	4.5,	4.7,	6.3,	4.7,	2.9
Sweden,2.4,	1.8,	7.4,	0,	7.2,	7.7,	5.8,	3.8
Trinidad & Tobago,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0
United States,2.2,	1.6,	4.7,	3.0,	4.3,	5.9,	5.0,	2.6	
Uruguay,0,0,0,0,0,0,0,0
Zimbabwe,1.5,	1.2,	1.1,	1.2,	1.3,	2.0,	1.4,	1.2
