Contry, Accepting bribes,Homosexuality,Prostitution,Abortion,Divorce,Euthanasia,Suicide,Wifebeating
Algeria,0,0,0,0,0,0,0,0
Argentina,	1.4,	4.5,	3.8,	3.0,	6.1,	3.2,	1.8,	1.1
Australia,	1.41,	5.60,	4.49,	5.55,	6.50,	6.41,	3.14,	1.29
Azerbaijan,0,0,0,0,0,0,0,0
Brazil,3.6,	1.8,	4.1,	3.0,	2.4,	5.5,	3.3,	1.8,	1.5
Colombia,1.5,	3.7,	1.9,	2.0,	4.6,	3.2,	1.4,	1.2
Cyprus,1.7,	3.7,	2.5,	4.1,	6.0,	3.2,	2.2,	1.7
Eucador,0,0,0,0,0,0,0,0
Egypt,1.4,	0,	0,	0,	5.0,	1.3,	1.1,	0
Estonia,0,0,0,0,0,0,0,0
Germany, 1.7,	5.9,	4.0,	4.7,	6.2,	4.1,	3.0,	1.7
India,2.4,	2.0,	2.2,	2.5,	3.1,	2.9,	2.6,	2.6
Iraq,1.1,	0,	0,	1.3,	1.6,	0,	0,	0
Japan,1.5,	4.0,	1.9,	4.2,	5.9,	5.8,	2.6,	1.5
Netherlands,1.5,	6.8,	5.2,	5.2,	6.2,	6.0,	3.5,	1.2
Philippines,0,0,0,0,0,0,0,0
Poland,1.4,	2.6,	2.3,	2.8,	4.3,	3.0,	2.0,	1.2
Qatar,0,0,0,0,0,0,0,0
Russia,1.7,	2.2, 2.1,	3.6,	4.9,	4.3,	1.9,	1.5
South Africa,2.3,	2.9,	2.5,	2.7,	4.0,	3.1,	2.4,	2.3
South Korea,1.6,	2.9,	2.5,	3.6,	4.8,	4.8,	2.9,	1.7
Spain,1.8,	6.1,	4.3,	5.2,	6.8,	5.1,	2.8,	1.5
Sweden,1.9,	8.1,	2.9,	7.7,	8.3,	6.5,	4.1,	1.2
Trinidad & Tobago,1.8,	1.9,	2.0,	2.3,	3.6,	2.8,	1.9,	1.8
Tunisia,0,0,0,0,0,0,0,0
Ukraine,2.3,	2.2,	2.3,	3.5,	4.4,	3.8,	2.0,	1.8
United Kingdom,1.6,	4.8,	3.5,	4.5,	6.0,	5.5,	3.3,	1.3
United States,1.3,	4.0,	2.8,	4.0,	5.3,	4.5,	2.4,	1.1	
Uruguay,1.8,	5.4,	5.0,	4.4,	6.9,	4.5,	2.9,	1.8
Zimbabwe,0,0,0,0,0,0,0,0
